code,icao,name,latitude,longitude,elevation,url,time_zone,city_code,country,city,state,county,type
SAN,KSAN,San Diego International Airport,32.73336075,-117.19224641277626,13,http://www.san.org/,America/Los_Angeles,SAN,US,San Diego,California,San Diego County,AP
SAT,KSAT,San Antonio International Airport,29.5334021,-98.46921443046924,708,https://www.sanantonio.gov/aviation,America/Chicago,SAT,US,Alamo Heights,Texas,Bexar County,AP
SAV,KSAV,Savannah/Hilton Head Airport,32.12423765,-81.19770644774445,32,,America/New_York,SAV,US,Pooler,Georgia,Chatham County,AP
SBA,KSBA,Santa Barbara Municipal Airport,34.42738475,-119.84313935656505,16,,America/Los_Angeles,SBA,US,Goleta,California,Santa Barbara County,AP
SCL,SCEL,Arturo Merino Benitez Airport,-33.397175,-70.79382,1610,http://www.aeropuertosantiago.cl/ingles/index.php,America/Santiago,SCL,CL,,,,AP
SDQ,MDSD,Las Americas International Airport,18.42929615,-69.6715123798729,52,http://www.aerodom.com/app/do/lasamericas.aspx,America/Santo_Domingo,SDQ,DO,Boca Chica,Santo Domingo,Santo Domingo,AP
SEA,KSEA,Seattle-Tacoma International Airport,47.4475673,-122.3080158569515,206,http://www.portseattle.org/seatac/,America/Los_Angeles,SEA,US,SeaTac,Washington,King County,AP
SFO,KSFO,San Francisco International Airport,37.622451999999996,-122.38407160781362,26,http://www.flysfo.com/,America/Los_Angeles,SFO,US,Millbrae,California,San Mateo County,AP
SJC,KSJC,Norman Y. Mineta San Jose International Airport,37.3633278,-121.92933857603218,55,http://www.flysanjose.com/,America/Los_Angeles,SJC,US,Santa Clara,California,Santa Clara County,AP
SJD,MMSD,Los Cabos International Airport,23.1451694,-109.71801287922258,295,http://loscabos.aeropuertosgap.com.mx/index.php?lang=eng,America/Mazatlan,SJD,MX,Las Veredas,Baja California Sur,Los Cabos,AP
SJU,TJSJ,Luis Munoz Marin International Airport,18.44319945,-65.99743036847468,36,,America/Puerto_Rico,SJU,PR,Carolina,Carolina,,AP
SLC,KSLC,Salt Lake City International Airport,40.790066100000004,-111.97989846185591,4209,http://www.slcairport.com ,America/Denver,SLC,US,Salt Lake City,Utah,Salt Lake County,AP
SLP,MMSP,San Luis Potosi Airport,22.260231349999998,-100.93678970603378,6043,,America/Mexico_City,SLP,MX,Fraccion Milpillas,San Luis Potosi,San Luis Potosi,AP
SMF,KSMF,Sacramento International Airport,38.687223450000005,-121.5903702806319,42,http://www.sacairports.org/int/,America/Los_Angeles,SAC,US,West Sacramento,California,Yolo County,AP
SNA,KSNA,John Wayne Airport,33.67420559999999,-117.86801480770461,45,http://www.ocair.com/,America/Los_Angeles,SNA,US,Irvine,California,Orange County,AP
SRQ,KSRQ,Sarasota Bradenton International Airport,27.395988350000003,-82.55407423064528,32,,America/New_York,SRQ,US,Whitfield,Florida,Manatee County,AP
STI,MDST,Cibao International Airport,19.405476,-70.60372192260436,554,,America/Santo_Domingo,STI,DO,Licey al Medio,Santiago,,AP
STL,KSTL,Lambert-St. Louis International Airport,38.74962725,-90.37047024952082,524,https://www.flystl.com/,America/Chicago,STL,US,Woodson Terrace,Missouri,Saint Louis County,AP
STT,TIST,Cyril E. King Airport,18.3346729,-64.9701668,16,http://www.viport.com/airports.html,America/St_Thomas,STT,VI,Charlotte Amalie,Saint Thomas Island,,AP
STX,TISX,Henry E. Rohlsen Airport,17.69997805,-64.8059208987329,39,,America/St_Thomas,STX,VI,Saint Croix,Saint Croix Island,,AP
TIJ,MMTJ,Tijuana Airport,32.54236105,-116.97017165699292,489,http://aeropuertosgap.com.mx/english/airports/tijuana-airport,America/Tijuana,TIJ,MX,Tijuana,Baja California,,AP
TLH,KTLH,Tallahassee International Airport,30.39782605,-84.35908394368526,81,,America/New_York,TLH,US,Tallahassee,Florida,Leon County,AP
TPA,KTPA,Tampa International Airport,27.9791649,-82.5349276153517,26,http://www.tampaairport.com,America/New_York,TPA,US,Egypt Lake-Leto,Florida,Hillsborough County,AP
TQO,MMTL,Aeropuerto Internacional de Tulum Felipe Carrillo Puerto,20.165842,-87.659709,86,,America/Cancun,TQO,MX,Tulum,,,AP
TUL,KTUL,Tulsa International Airport,36.1968484,-95.88675053989968,677,,America/Chicago,TUL,US,Owasso,Oklahoma,Tulsa County,AP
TYS,KTYS,McGhee Tyson Airport,35.809552999999994,-83.99884810431155,981,,America/New_York,TYS,US,Alcoa,Tennessee,Blount County,AP
UIO,SEQM,Mariscal Sucre International Airport,-0.145528,-78.49053,7841,,America/Guayaquil,UIO,EC,Quito,Pichincha,,AP
UVF,TLPL,Hewanorra Airport,13.7342774,-60.95388420129784,42,http://www.slaspa.com/contentPages/view/hewanorra-international-airport,America/St_Lucia,SLU,LC,Vieux Fort,Vieux-Fort,,AP
VER,MMVR,Veracruz International Airport,19.142275,-96.18321,88,http://www.asur.com.mx/asur/ingles/aeropuertos/veracruz/veracruz.asp,America/Mexico_City,VER,MX,Hacienda Sotavento,Veracruz,Veracruz,AP
VPS,KVPS,Destin Fort Walton Beach Airport,30.4954202,-86.549503,98,http://www.flyvps.com/,America/Chicago,VPS,US,Eglin Village,Florida,Okaloosa County,AP
XNA,KXNA,Northwest Arkansas Regional,36.275257,-94.29711,1253,http://www.flyxna.com/,America/Chicago,FYV,US,Cave Springs,Arkansas,Benton County,AP
XSC,MBSC,International,21.515833,-71.529724,6,,America/Grand_Turk,XSC,TC,Cockburn Town,,,AP
YHZ,CYHZ,Halifax Stanfield International Airport,44.8767923,-63.512633,477,http://www.hiaa.ca/,America/Halifax,YHZ,CA,Cole Harbour,Nova Scotia,,AP
YOW,CYOW,Ottawa/Macdonald-Cartier International Airport,45.32203645,-75.66726438915012,374,http://www.ottawa-airport.ca/,America/Toronto,YOW,CA,,,,AP
YUL,CYUL,Montreal-Pierre Elliott Trudeau International Airport,45.46873715,-73.74257166095532,118,http://www.admtl.com/passager/Home.aspx,America/Montreal,YMQ,CA,Dorval,Quebec,,AP
YVR,CYVR,Vancouver International Airport,49.193044,-123.17986424460963,14,http://www.yvr.ca/,America/Vancouver,YVR,CA,Richmond,British Columbia,,AP
YYC,CYYC,Calgary International Airport,51.120751,-114.01057234296194,3557,http://www.calgaryairport.com/,America/Edmonton,YYC,CA,Calgary,Alberta,,AP
YYZ,CYYZ,Pearson International Airport,43.681583,-79.61146,569,http://www.gtaa.com/,America/Toronto,YTO,CA,Etobicoke,Ontario,,AP
ZIH,MMZH,Ixtapa/Zihuatanejo Internacional Airport,17.606783,-101.464066,26,,America/Mexico_City,ZIH,MX,Colonia Aeropuerto,Guerrero,Zihuatanejo de Azueta,AP
ZRH,LSZH,Zurich Airport,47.4635489,8.553204683227131,1416,http://www.zurich-airport.com/,Europe/Zurich,ZRH,CH,Glattbrugg / Rohr/Platten-Balsberg,Zurich,Bezirk Buelach,AP
